energy[au],time[s],kinetic,variance,acceptance_rate
2.543642521570246,6.888,1.4423906990380797,4.269583589668337,0.97782
2.540207917787656,6.892,1.4219735179966826,2.4332748568769658,0.97783
2.6479667680153165,6.917,1.557836985757867,3.665930465903328,0.97853
2.400907787703055,6.961,1.3464120265099073,4.30869686576224,0.97781
2.658444008920006,6.913,1.6185618307872314,8.4648385172012,0.97841
2.6602333371727025,7.013,1.6084300602880182,5.2540411593984535,0.9791
2.587924971425744,6.989,1.556047636836955,1.9742614861778112,0.97885
2.5044942410588935,7.38,1.4334567062095276,3.0926666132604463,0.97799
2.6709552759567803,7.981,1.600527445013579,1.6427011032170897,0.97891
2.615470548139256,7.018,1.6704725872694495,1.9858956429068,0.97978
