energy[au],time[s],kinetic,variance,acceptance_rate
2.573074332974713,7.801,1.5606053125061246,11.192695715958983,0.97841
2.6321888402517266,7.856,1.6008410998090918,2.555502855302187,0.97761
2.5545151469876948,7.839,1.4515245583891825,3.144710382132124,0.97489
2.619177815758354,7.918,1.6118836053262824,1.9905208604870612,0.97705
2.579203801852897,7.929,1.5595234545146528,2.993545341466424,0.97761
2.575736817573153,7.905,1.4911090552785342,5.131960600178122,0.97603
2.580953125745943,8.046,1.4709213613951857,2.7326581081650216,0.97526
2.6045285942272716,9.098,1.5586841926368447,3.5325104358716377,0.97628
2.588366521638696,8.047,1.568263978779275,1.115472887478635,0.97726
2.6050920174182957,6.852,1.5828671093557722,1.7692372658732367,0.97737
